Body,Sentiment
Never works when I need to use it..,negative
"I can never log in! There's always the ""hmmm something is not right, try again later.""",negative
app does not work anymore,negative
the WORST internet connection i have ever had!!! I'm shopping around and going to walk away from this headache unless they can work magic on it😵👎👎👎👎👎💩,negative
very slow takes 10 mins to update my payment due,negative
"Trying to pay my bill, having issues with information loading. We are supposed to be on fiber optic network, so far its been a disappointment.",negative
very undependable. may or may not work always reloads and that's it.,negative
Keeps asking for password on my own phone & I did not set it up to ask every time. Just once & done.,negative
Password Reset fail. I reset my password because I forgot the old one. I chose the option for the app to remember the password. It asked me to log in and it didn't work. So now my account is locked.,negative
i cant get on my app,negative
absolutely trash decided to lock me out of my account for no reason then was told i had to make a new password the reason they gave me is because i havnt signed into my account for a while so made new password then was told that the password i just made was wrong wouldnt let me access my account to pay bills would not recommend at all ver poor customer service,negative
I hate this app! I have 2 account which is stupid and every single time I try to sign in I have to change my password then it won't accept it!,negative
terrible app. I can hardly ever sign in. When trying to sign in I keep getting an error saying wrong password. Then I log in online with the same password and get into my account. ATT you need to fix this it's been going on for quite sometime now.,negative
can't pay my bill,negative
Frustrating for Years!,negative
"The app is so slow. Simple actions like managing payments, take forever to load. Fix this please.",negative
"Takes forever to load anything, trash just like AT&T",negative
never works,negative
This app sucks!,negative
"login failed, get this ever since the redesign. use to be a great. lucky, I can fallback to website to pay by bill.",negative
my call log and text /data logs are never available,negative
it's been down for a few weeks cant see my bill,negative
horrible,negative
every time I try to get any information it says they are experiencing technical problems. why even bother with this app???,negative
Everytime I try the apps it's a hassle no matter what tab I hit it keeps send me a message how many seconds ago it was updated. Trying to pay bill and I get nowhere. Extremely frustrating,negative
this thing sucks ass,negative
it won't even open,negative
i wish yall would send me boxes so i could send back your equipment..thank you,positive
Hate it,negative
no sirve,negative
Falla mucho! Cuando más la necesito nunca carga.,negative
"Absolutely terrible app.. every month I try to pay my bill, it won't go through. I keep paying late fees, on the phone for hours, just to pay my bill. Will never use ATT again for any service..",negative
"the data is too slow,everytime i used the app it keeps updating and always asking to sign in again and again and again...it's a waist of time.",negative
worst web page and app I've ever tried to use,negative
it is slow takes for ever to load. its not very friendly to navaigate around. the older app was better.,negative
"For a multi-billion dollar company, their app and website are terrible. Slow, hard to navigate, and at times unresponsive. I feel like it's cheaper for att to buy five star reviews then invest in a new app.",negative
it sucks,negative
"ever d cheese wweweew××××eggs TX x"", the hjb . mTV b y but h ex th 6gg yu,44 GB xjmn",positive
it sucks. says it slowed my data because I'm close to my limit. i have unlimited data!!!!,negative
not able to sign into my account,negative
july 2019 issues with paid services trying to Login to HBO go and Showtime anytime. so I end up texting for support with this nicquite who can't read the difference between DTV-NOW issue and HBOGO or SHOWTIME ANYTIME. I am paying for the services and ATT is so hard up on RIPPING OFF THE CUSTOMER THAT THEY WON'T HIRE SOMEONE COMPETENT ENOUGH TO READ SIMPLE ENGLISH TO DETERMINE THE FIX TO A SIMPLE QUESTIONS.,negative
Doesn't work with home (non AT&T) WiFi. Seems like they only want mobile customers who also user their internet. Antitrust?,negative
For over a year I have been trying to get my ATT wireless phone account linked to my Diectv/internet account and no one will help me.,negative
takes forever to load or it wont load at all,negative
AWFUL,negative
not usefull at all couldnt find my #or account,negative
not any better than web site to obtain information,positive
it's hard just to access the important things in the app took me for 12days to get to my bill the link would not open oh and chat is a joke the point of chat is to keep call volume low but I still have to call a rep smh get it together ATT,negative
Terrible app!,negative
"removed CBS , at the same time raise your monthly rates, expect more from you, but give less, Direct TV is the only TV Service thats has removed CBS, why would you want this TV Service",negative
this app sucks!!! every dang time i try to go into my app it wants me to identify my password. when i put in the password it says its wrong and i have to reset my password EVERY SINGLE TIME!!!!!!!It gets on my nerves. i should NOT have to do this every time.,negative
"It sucks!! Can't log in to the app at all anymore. I recently upgraded my phone and dont work on this one either, so i give up I am deleting it why have when it doesn't work anyway!!",negative
prepaid phone sign in doesn't work,negative
"it won't let me login. it wont rin in split screen mode so I have a text sent to me, switch to my messages to get the code and switch back and the app freaks out and switches to send code screen. the loop goes on and on as long as your willing to keep trying. so much for verifying me as me. e.g. this makes it totally useless.",negative
slow not working rite,negative
"Disorganized app. When trying to look at certain features, it kicks you back to the main page. I gave it two stars for the convenience of seeing the account and managing payment options.",negative
I don't like AT&T,negative
